s,p,c,counts.all_mostly_true_rep (o=1.0),counts.all_mostly_true_rep (o=0.9),counts.all_mostly_true_rep (o=0.75),counts.all_totally_true_rep (o=1.0),counts.all_totally_true_rep (o=0.9),counts.all_totally_true_rep (o=0.75),counts.inspecting_s0 (o=1.0),counts.inspecting_s0 (o=0.9),counts.inspecting_s0 (o=0.75),counts.inspecting_s1 (o=1.0),counts.inspecting_s1 (o=0.9),counts.inspecting_s1 (o=0.75),counts.self_deception_s0 (o=1.0),counts.self_deception_s0 (o=0.9),counts.self_deception_s0 (o=0.75),counts.self_deception_s1 (o=1.0),counts.self_deception_s1 (o=0.9),counts.self_deception_s1 (o=0.75),counts.conscious_deception_s1 (o=1.0),counts.conscious_deception_s1 (o=0.9),counts.conscious_deception_s1 (o=0.75),counts.conscious_deception_s1_a3_correct (o=1.0),counts.conscious_deception_s1_a3_correct (o=0.9),counts.conscious_deception_s1_a3_correct (o=0.75),counts.conscious_deception_s1_a3_correct_self (o=1.0),counts.conscious_deception_s1_a3_correct_self (o=0.9),counts.conscious_deception_s1_a3_correct_self (o=0.75),counts.whole_deception_s1 (o=1.0),counts.whole_deception_s1 (o=0.9),counts.whole_deception_s1 (o=0.75),counts.whole_deception_s1_a3 (o=1.0),counts.whole_deception_s1_a3 (o=0.9),counts.whole_deception_s1_a3 (o=0.75),counts.whole_deception_s1_fromConscious (o=1.0),counts.whole_deception_s1_fromConscious (o=0.9),counts.whole_deception_s1_fromConscious (o=0.75),counts.whole_deception_s1_fromSelf (o=1.0),counts.whole_deception_s1_fromSelf (o=0.9),counts.whole_deception_s1_fromSelf (o=0.75),counts.whole_deception_s1_fromBoth (o=1.0),counts.whole_deception_s1_fromBoth (o=0.9),counts.whole_deception_s1_fromBoth (o=0.75),counts.whole_deception_s1_fromNeither (o=1.0),counts.whole_deception_s1_fromNeither (o=0.9),counts.whole_deception_s1_fromNeither (o=0.75)
0.5,1.0,0.6,316,,992,163,,919,42,,267,197,,906,333,,48,473,,77,752,,914,64,,54,3,,0,823,,916,210,,894,539,,900,79,,7,393,,70,89,,7
0.5,1.0,0.5,309,,991,146,,905,206,,694,343,,989,303,,64,477,,93,739,,958,148,,74,4,,0,793,,960,285,,952,551,,941,74,,8,396,,85,83,,18
0.5,1.0,0.4,343,778,994,92,387,870,490,761,949,574,886,998,322,299,75,551,533,129,774,854,974,322,424,123,12,3,0,815,877,975,446,774,975,560,658,951,97,97,8,460,487,124,101,101,28
0.5,1.0,0.3,327,719,995,35,187,845,737,906,997,770,941,1000,355,359,59,611,716,144,816,908,993,469,649,152,16,6,0,852,915,994,549,838,994,523,614,967,101,147,18,530,681,151,96,129,25
0.5,1.0,0.2,353,730,990,7,117,780,841,972,999,860,978,1000,306,318,54,635,729,172,879,942,998,644,786,216,11,7,1,904,951,998,683,905,994,507,561,953,161,168,20,584,762,219,94,122,20
0.5,1.0,0.1,375,715,988,5,52,740,896,980,999,909,983,1000,276,280,39,607,689,158,931,972,1000,772,899,259,17,6,0,947,977,1000,814,955,1000,508,491,952,192,185,19,630,839,257,95,98,6
0.5,1.0,0.0,381,718,986,0,41,710,929,989,1000,930,992,1000,242,213,34,581,548,107,936,977,999,847,919,289,19,5,1,954,982,1000,871,968,1000,492,465,939,182,137,14,647,849,289,85,84,9
0.5,0.9,0.6,289,,996,152,,938,23,,172,149,,825,306,,40,458,,59,762,,932,50,,36,3,,0,816,,932,190,,885,569,,923,79,,2,395,,59,78,,3
0.5,0.9,0.5,284,,993,133,,920,125,,529,315,,988,330,,59,499,,76,740,,952,152,,60,5,,0,802,,953,274,,947,523,,940,91,,4,420,,70,87,,9
0.5,0.9,0.4,306,743,984,112,393,929,364,645,1,474,836,8,331,336,40,538,504,57,768,824,957,255,346,0,17,8,0,813,849,959,393,720,30,580,645,951,91,88,10,465,444,64,93,81,3
